class_index,class,image_name
966,n07892512,ILSVRC2012_val_00019736.JPEG
966,n07892512,ILSVRC2012_val_00020261.JPEG
966,n07892512,ILSVRC2012_val_00040697.JPEG
140,n02027492,ILSVRC2012_val_00045959.JPEG
140,n02027492,ILSVRC2012_val_00008756.JPEG
140,n02027492,ILSVRC2012_val_00002691.JPEG
140,n02027492,ILSVRC2012_val_00009457.JPEG
140,n02027492,ILSVRC2012_val_00010176.JPEG
247,n02109525,ILSVRC2012_val_00022633.JPEG
247,n02109525,ILSVRC2012_val_00048842.JPEG
247,n02109525,ILSVRC2012_val_00006849.JPEG
247,n02109525,ILSVRC2012_val_00041049.JPEG
247,n02109525,ILSVRC2012_val_00002609.JPEG
871,n04483307,ILSVRC2012_val_00028262.JPEG
871,n04483307,ILSVRC2012_val_00008577.JPEG
871,n04483307,ILSVRC2012_val_00035852.JPEG
871,n04483307,ILSVRC2012_val_00029529.JPEG
871,n04483307,ILSVRC2012_val_00013014.JPEG
769,n04118776,ILSVRC2012_val_00002360.JPEG
769,n04118776,ILSVRC2012_val_00047349.JPEG
769,n04118776,ILSVRC2012_val_00048870.JPEG
769,n04118776,ILSVRC2012_val_00046636.JPEG
769,n04118776,ILSVRC2012_val_00011948.JPEG
884,n04523525,ILSVRC2012_val_00018433.JPEG
884,n04523525,ILSVRC2012_val_00001477.JPEG
884,n04523525,ILSVRC2012_val_00013949.JPEG
884,n04523525,ILSVRC2012_val_00024824.JPEG
884,n04523525,ILSVRC2012_val_00012912.JPEG
478,n02971356,ILSVRC2012_val_00028164.JPEG
478,n02971356,ILSVRC2012_val_00018554.JPEG
478,n02971356,ILSVRC2012_val_00015884.JPEG
478,n02971356,ILSVRC2012_val_00045169.JPEG
478,n02971356,ILSVRC2012_val_00035114.JPEG
90,n01820546,ILSVRC2012_val_00030391.JPEG
90,n01820546,ILSVRC2012_val_00001749.JPEG
90,n01820546,ILSVRC2012_val_00026084.JPEG
90,n01820546,ILSVRC2012_val_00003884.JPEG
90,n01820546,ILSVRC2012_val_00037145.JPEG
733,n03976657,ILSVRC2012_val_00000334.JPEG
733,n03976657,ILSVRC2012_val_00039309.JPEG
733,n03976657,ILSVRC2012_val_00039631.JPEG
733,n03976657,ILSVRC2012_val_00045218.JPEG
733,n03976657,ILSVRC2012_val_00036239.JPEG
584,n03476684,ILSVRC2012_val_00020650.JPEG
584,n03476684,ILSVRC2012_val_00030752.JPEG
584,n03476684,ILSVRC2012_val_00025088.JPEG
584,n03476684,ILSVRC2012_val_00018561.JPEG
584,n03476684,ILSVRC2012_val_00032145.JPEG
644,n03729826,ILSVRC2012_val_00045781.JPEG
644,n03729826,ILSVRC2012_val_00005386.JPEG
644,n03729826,ILSVRC2012_val_00009874.JPEG
644,n03729826,ILSVRC2012_val_00042470.JPEG
644,n03729826,ILSVRC2012_val_00045835.JPEG
710,n03908714,ILSVRC2012_val_00030214.JPEG
710,n03908714,ILSVRC2012_val_00022879.JPEG
710,n03908714,ILSVRC2012_val_00036558.JPEG
710,n03908714,ILSVRC2012_val_00046070.JPEG
710,n03908714,ILSVRC2012_val_00043654.JPEG
831,n04344873,ILSVRC2012_val_00014847.JPEG
831,n04344873,ILSVRC2012_val_00014105.JPEG
831,n04344873,ILSVRC2012_val_00038240.JPEG
831,n04344873,ILSVRC2012_val_00010236.JPEG
831,n04344873,ILSVRC2012_val_00007894.JPEG
568,n03404251,ILSVRC2012_val_00019881.JPEG
568,n03404251,ILSVRC2012_val_00022952.JPEG
568,n03404251,ILSVRC2012_val_00034918.JPEG
568,n03404251,ILSVRC2012_val_00014658.JPEG
568,n03404251,ILSVRC2012_val_00030137.JPEG
177,n02092002,ILSVRC2012_val_00029451.JPEG
177,n02092002,ILSVRC2012_val_00024335.JPEG
177,n02092002,ILSVRC2012_val_00024831.JPEG
177,n02092002,ILSVRC2012_val_00003725.JPEG
177,n02092002,ILSVRC2012_val_00010896.JPEG
379,n02492660,ILSVRC2012_val_00048932.JPEG
379,n02492660,ILSVRC2012_val_00036365.JPEG
379,n02492660,ILSVRC2012_val_00012711.JPEG
379,n02492660,ILSVRC2012_val_00034985.JPEG
379,n02492660,ILSVRC2012_val_00030602.JPEG
250,n02110185,ILSVRC2012_val_00016669.JPEG
250,n02110185,ILSVRC2012_val_00006584.JPEG
250,n02110185,ILSVRC2012_val_00023659.JPEG
250,n02110185,ILSVRC2012_val_00004967.JPEG
250,n02110185,ILSVRC2012_val_00041649.JPEG
115,n01950731,ILSVRC2012_val_00034463.JPEG
115,n01950731,ILSVRC2012_val_00016162.JPEG
115,n01950731,ILSVRC2012_val_00033786.JPEG
115,n01950731,ILSVRC2012_val_00030041.JPEG
115,n01950731,ILSVRC2012_val_00028918.JPEG
866,n04465501,ILSVRC2012_val_00007432.JPEG
866,n04465501,ILSVRC2012_val_00039910.JPEG
866,n04465501,ILSVRC2012_val_00035906.JPEG
866,n04465501,ILSVRC2012_val_00008766.JPEG
866,n04465501,ILSVRC2012_val_00021373.JPEG
268,n02113978,ILSVRC2012_val_00011202.JPEG
268,n02113978,ILSVRC2012_val_00034744.JPEG
268,n02113978,ILSVRC2012_val_00037767.JPEG
268,n02113978,ILSVRC2012_val_00044882.JPEG
268,n02113978,ILSVRC2012_val_00014877.JPEG
97,n01847000,ILSVRC2012_val_00012721.JPEG
97,n01847000,ILSVRC2012_val_00040846.JPEG
97,n01847000,ILSVRC2012_val_00036972.JPEG
97,n01847000,ILSVRC2012_val_00033783.JPEG
97,n01847000,ILSVRC2012_val_00046978.JPEG
125,n01986214,ILSVRC2012_val_00017555.JPEG
125,n01986214,ILSVRC2012_val_00033379.JPEG
125,n01986214,ILSVRC2012_val_00036320.JPEG
125,n01986214,ILSVRC2012_val_00003257.JPEG
125,n01986214,ILSVRC2012_val_00021819.JPEG
307,n02177972,ILSVRC2012_val_00039201.JPEG
307,n02177972,ILSVRC2012_val_00033035.JPEG
307,n02177972,ILSVRC2012_val_00049384.JPEG
307,n02177972,ILSVRC2012_val_00044574.JPEG
307,n02177972,ILSVRC2012_val_00020581.JPEG
934,n07697537,ILSVRC2012_val_00043773.JPEG
934,n07697537,ILSVRC2012_val_00000129.JPEG
934,n07697537,ILSVRC2012_val_00024032.JPEG
934,n07697537,ILSVRC2012_val_00000811.JPEG
934,n07697537,ILSVRC2012_val_00016179.JPEG
195,n02096585,ILSVRC2012_val_00044773.JPEG
195,n02096585,ILSVRC2012_val_00039852.JPEG
195,n02096585,ILSVRC2012_val_00033268.JPEG
195,n02096585,ILSVRC2012_val_00003354.JPEG
195,n02096585,ILSVRC2012_val_00030228.JPEG
904,n04589890,ILSVRC2012_val_00041475.JPEG
904,n04589890,ILSVRC2012_val_00030954.JPEG
904,n04589890,ILSVRC2012_val_00037123.JPEG
904,n04589890,ILSVRC2012_val_00027696.JPEG
904,n04589890,ILSVRC2012_val_00002310.JPEG
200,n02097474,ILSVRC2012_val_00039144.JPEG
200,n02097474,ILSVRC2012_val_00011895.JPEG
200,n02097474,ILSVRC2012_val_00038294.JPEG
200,n02097474,ILSVRC2012_val_00023486.JPEG
200,n02097474,ILSVRC2012_val_00023596.JPEG
372,n02486410,ILSVRC2012_val_00000945.JPEG
372,n02486410,ILSVRC2012_val_00018328.JPEG
372,n02486410,ILSVRC2012_val_00004227.JPEG
372,n02486410,ILSVRC2012_val_00030727.JPEG
372,n02486410,ILSVRC2012_val_00031403.JPEG
972,n09246464,ILSVRC2012_val_00005547.JPEG
972,n09246464,ILSVRC2012_val_00015029.JPEG
972,n09246464,ILSVRC2012_val_00007794.JPEG
972,n09246464,ILSVRC2012_val_00035485.JPEG
972,n09246464,ILSVRC2012_val_00048191.JPEG
12,n01532829,ILSVRC2012_val_00009239.JPEG
12,n01532829,ILSVRC2012_val_00038160.JPEG
12,n01532829,ILSVRC2012_val_00048642.JPEG
12,n01532829,ILSVRC2012_val_00013456.JPEG
12,n01532829,ILSVRC2012_val_00015964.JPEG
1,n01443537,ILSVRC2012_val_00012880.JPEG
1,n01443537,ILSVRC2012_val_00002241.JPEG
1,n01443537,ILSVRC2012_val_00049617.JPEG
1,n01443537,ILSVRC2012_val_00019459.JPEG
1,n01443537,ILSVRC2012_val_00010509.JPEG
617,n03630383,ILSVRC2012_val_00040416.JPEG
617,n03630383,ILSVRC2012_val_00015323.JPEG
617,n03630383,ILSVRC2012_val_00049346.JPEG
617,n03630383,ILSVRC2012_val_00016958.JPEG
617,n03630383,ILSVRC2012_val_00049178.JPEG
351,n02422106,ILSVRC2012_val_00047814.JPEG
351,n02422106,ILSVRC2012_val_00006385.JPEG
351,n02422106,ILSVRC2012_val_00020942.JPEG
351,n02422106,ILSVRC2012_val_00020699.JPEG
351,n02422106,ILSVRC2012_val_00023238.JPEG
510,n03095699,ILSVRC2012_val_00032178.JPEG
510,n03095699,ILSVRC2012_val_00039486.JPEG
510,n03095699,ILSVRC2012_val_00014019.JPEG
510,n03095699,ILSVRC2012_val_00020075.JPEG
510,n03095699,ILSVRC2012_val_00024089.JPEG
414,n02769748,ILSVRC2012_val_00034742.JPEG
414,n02769748,ILSVRC2012_val_00016935.JPEG
414,n02769748,ILSVRC2012_val_00016479.JPEG
414,n02769748,ILSVRC2012_val_00003680.JPEG
414,n02769748,ILSVRC2012_val_00016010.JPEG
826,n04328186,ILSVRC2012_val_00013770.JPEG
826,n04328186,ILSVRC2012_val_00045015.JPEG
826,n04328186,ILSVRC2012_val_00029493.JPEG
826,n04328186,ILSVRC2012_val_00005281.JPEG
826,n04328186,ILSVRC2012_val_00045064.JPEG
103,n01873310,ILSVRC2012_val_00008588.JPEG
103,n01873310,ILSVRC2012_val_00024992.JPEG
103,n01873310,ILSVRC2012_val_00042448.JPEG
103,n01873310,ILSVRC2012_val_00023078.JPEG
103,n01873310,ILSVRC2012_val_00000940.JPEG
359,n02443484,ILSVRC2012_val_00040895.JPEG
359,n02443484,ILSVRC2012_val_00012685.JPEG
359,n02443484,ILSVRC2012_val_00036771.JPEG
359,n02443484,ILSVRC2012_val_00040766.JPEG
359,n02443484,ILSVRC2012_val_00026767.JPEG
337,n02363005,ILSVRC2012_val_00009081.JPEG
337,n02363005,ILSVRC2012_val_00012209.JPEG
337,n02363005,ILSVRC2012_val_00027523.JPEG
337,n02363005,ILSVRC2012_val_00017417.JPEG
337,n02363005,ILSVRC2012_val_00017230.JPEG
186,n02094258,ILSVRC2012_val_00008703.JPEG
186,n02094258,ILSVRC2012_val_00030694.JPEG
186,n02094258,ILSVRC2012_val_00036563.JPEG
186,n02094258,ILSVRC2012_val_00039510.JPEG
186,n02094258,ILSVRC2012_val_00026042.JPEG
211,n02100583,ILSVRC2012_val_00010808.JPEG
211,n02100583,ILSVRC2012_val_00040467.JPEG
211,n02100583,ILSVRC2012_val_00011699.JPEG
211,n02100583,ILSVRC2012_val_00045217.JPEG
211,n02100583,ILSVRC2012_val_00004615.JPEG
3,n01491361,ILSVRC2012_val_00049000.JPEG
3,n01491361,ILSVRC2012_val_00003183.JPEG
3,n01491361,ILSVRC2012_val_00046159.JPEG
3,n01491361,ILSVRC2012_val_00029568.JPEG
3,n01491361,ILSVRC2012_val_00023443.JPEG
406,n02699494,ILSVRC2012_val_00030992.JPEG
406,n02699494,ILSVRC2012_val_00030337.JPEG
406,n02699494,ILSVRC2012_val_00028971.JPEG
406,n02699494,ILSVRC2012_val_00016040.JPEG
406,n02699494,ILSVRC2012_val_00002017.JPEG
416,n02777292,ILSVRC2012_val_00046766.JPEG
416,n02777292,ILSVRC2012_val_00025802.JPEG
416,n02777292,ILSVRC2012_val_00003803.JPEG
416,n02777292,ILSVRC2012_val_00013329.JPEG
416,n02777292,ILSVRC2012_val_00026129.JPEG
575,n03445924,ILSVRC2012_val_00018661.JPEG
575,n03445924,ILSVRC2012_val_00044693.JPEG
575,n03445924,ILSVRC2012_val_00016217.JPEG
575,n03445924,ILSVRC2012_val_00010247.JPEG
575,n03445924,ILSVRC2012_val_00016950.JPEG
439,n02817516,ILSVRC2012_val_00034694.JPEG
439,n02817516,ILSVRC2012_val_00029368.JPEG
439,n02817516,ILSVRC2012_val_00004149.JPEG
439,n02817516,ILSVRC2012_val_00027704.JPEG
439,n02817516,ILSVRC2012_val_00029701.JPEG
262,n02112706,ILSVRC2012_val_00025884.JPEG
262,n02112706,ILSVRC2012_val_00019318.JPEG
262,n02112706,ILSVRC2012_val_00027305.JPEG
262,n02112706,ILSVRC2012_val_00013524.JPEG
262,n02112706,ILSVRC2012_val_00012446.JPEG
983,n10565667,ILSVRC2012_val_00020849.JPEG
983,n10565667,ILSVRC2012_val_00037541.JPEG
983,n10565667,ILSVRC2012_val_00005914.JPEG
983,n10565667,ILSVRC2012_val_00022183.JPEG
983,n10565667,ILSVRC2012_val_00022622.JPEG
298,n02137549,ILSVRC2012_val_00023445.JPEG
298,n02137549,ILSVRC2012_val_00047303.JPEG
298,n02137549,ILSVRC2012_val_00022398.JPEG
298,n02137549,ILSVRC2012_val_00037155.JPEG
298,n02137549,ILSVRC2012_val_00046702.JPEG
921,n07248320,ILSVRC2012_val_00021443.JPEG
921,n07248320,ILSVRC2012_val_00047159.JPEG
921,n07248320,ILSVRC2012_val_00000980.JPEG
921,n07248320,ILSVRC2012_val_00035156.JPEG
921,n07248320,ILSVRC2012_val_00030743.JPEG
774,n04133789,ILSVRC2012_val_00048889.JPEG
774,n04133789,ILSVRC2012_val_00015083.JPEG
774,n04133789,ILSVRC2012_val_00036524.JPEG
774,n04133789,ILSVRC2012_val_00007160.JPEG
774,n04133789,ILSVRC2012_val_00037409.JPEG
79,n01784675,ILSVRC2012_val_00009716.JPEG
79,n01784675,ILSVRC2012_val_00011704.JPEG
79,n01784675,ILSVRC2012_val_00028449.JPEG
79,n01784675,ILSVRC2012_val_00032970.JPEG
79,n01784675,ILSVRC2012_val_00020046.JPEG
297,n02134418,ILSVRC2012_val_00046498.JPEG
297,n02134418,ILSVRC2012_val_00045098.JPEG
297,n02134418,ILSVRC2012_val_00011036.JPEG
297,n02134418,ILSVRC2012_val_00014529.JPEG
297,n02134418,ILSVRC2012_val_00047458.JPEG
560,n03379051,ILSVRC2012_val_00035925.JPEG
560,n03379051,ILSVRC2012_val_00014609.JPEG
560,n03379051,ILSVRC2012_val_00013292.JPEG
560,n03379051,ILSVRC2012_val_00038917.JPEG
560,n03379051,ILSVRC2012_val_00032342.JPEG
256,n02111277,ILSVRC2012_val_00023569.JPEG
256,n02111277,ILSVRC2012_val_00012617.JPEG
256,n02111277,ILSVRC2012_val_00015197.JPEG
256,n02111277,ILSVRC2012_val_00049327.JPEG
256,n02111277,ILSVRC2012_val_00046591.JPEG
767,n04116512,ILSVRC2012_val_00003867.JPEG
767,n04116512,ILSVRC2012_val_00039841.JPEG
767,n04116512,ILSVRC2012_val_00004247.JPEG
767,n04116512,ILSVRC2012_val_00047135.JPEG
767,n04116512,ILSVRC2012_val_00042224.JPEG
975,n09332890,ILSVRC2012_val_00004188.JPEG
975,n09332890,ILSVRC2012_val_00011436.JPEG
975,n09332890,ILSVRC2012_val_00033343.JPEG
975,n09332890,ILSVRC2012_val_00028191.JPEG
975,n09332890,ILSVRC2012_val_00043221.JPEG
495,n03018349,ILSVRC2012_val_00046019.JPEG
495,n03018349,ILSVRC2012_val_00049207.JPEG
495,n03018349,ILSVRC2012_val_00048876.JPEG
495,n03018349,ILSVRC2012_val_00038333.JPEG
495,n03018349,ILSVRC2012_val_00026074.JPEG
796,n04229816,ILSVRC2012_val_00012859.JPEG
796,n04229816,ILSVRC2012_val_00036846.JPEG
796,n04229816,ILSVRC2012_val_00028923.JPEG
796,n04229816,ILSVRC2012_val_00039762.JPEG
796,n04229816,ILSVRC2012_val_00009838.JPEG
212,n02100735,ILSVRC2012_val_00043577.JPEG
212,n02100735,ILSVRC2012_val_00034436.JPEG
212,n02100735,ILSVRC2012_val_00008349.JPEG
212,n02100735,ILSVRC2012_val_00037842.JPEG
212,n02100735,ILSVRC2012_val_00048304.JPEG
86,n01807496,ILSVRC2012_val_00026168.JPEG
86,n01807496,ILSVRC2012_val_00028573.JPEG
86,n01807496,ILSVRC2012_val_00032409.JPEG
86,n01807496,ILSVRC2012_val_00048722.JPEG
86,n01807496,ILSVRC2012_val_00029297.JPEG
296,n02134084,ILSVRC2012_val_00040871.JPEG
296,n02134084,ILSVRC2012_val_00012997.JPEG
296,n02134084,ILSVRC2012_val_00027913.JPEG
296,n02134084,ILSVRC2012_val_00030704.JPEG
296,n02134084,ILSVRC2012_val_00010745.JPEG
165,n02089078,ILSVRC2012_val_00039934.JPEG
165,n02089078,ILSVRC2012_val_00045878.JPEG
165,n02089078,ILSVRC2012_val_00041810.JPEG
165,n02089078,ILSVRC2012_val_00049198.JPEG
165,n02089078,ILSVRC2012_val_00017673.JPEG
424,n02791270,ILSVRC2012_val_00036608.JPEG
424,n02791270,ILSVRC2012_val_00044503.JPEG
424,n02791270,ILSVRC2012_val_00032179.JPEG
424,n02791270,ILSVRC2012_val_00041153.JPEG
424,n02791270,ILSVRC2012_val_00019912.JPEG
729,n03961711,ILSVRC2012_val_00010894.JPEG
729,n03961711,ILSVRC2012_val_00008371.JPEG
729,n03961711,ILSVRC2012_val_00027552.JPEG
729,n03961711,ILSVRC2012_val_00008241.JPEG
729,n03961711,ILSVRC2012_val_00001853.JPEG
732,n03976467,ILSVRC2012_val_00001973.JPEG
732,n03976467,ILSVRC2012_val_00018451.JPEG
732,n03976467,ILSVRC2012_val_00014850.JPEG
732,n03976467,ILSVRC2012_val_00028460.JPEG
732,n03976467,ILSVRC2012_val_00000765.JPEG
310,n02219486,ILSVRC2012_val_00038182.JPEG
310,n02219486,ILSVRC2012_val_00030054.JPEG
310,n02219486,ILSVRC2012_val_00021864.JPEG
310,n02219486,ILSVRC2012_val_00032504.JPEG
310,n02219486,ILSVRC2012_val_00000407.JPEG
633,n03692522,ILSVRC2012_val_00000999.JPEG
633,n03692522,ILSVRC2012_val_00028226.JPEG
633,n03692522,ILSVRC2012_val_00040460.JPEG
633,n03692522,ILSVRC2012_val_00004519.JPEG
633,n03692522,ILSVRC2012_val_00041544.JPEG
620,n03642806,ILSVRC2012_val_00043390.JPEG
620,n03642806,ILSVRC2012_val_00000151.JPEG
620,n03642806,ILSVRC2012_val_00015965.JPEG
620,n03642806,ILSVRC2012_val_00021413.JPEG
620,n03642806,ILSVRC2012_val_00005275.JPEG
625,n03662601,ILSVRC2012_val_00035440.JPEG
625,n03662601,ILSVRC2012_val_00004492.JPEG
625,n03662601,ILSVRC2012_val_00042757.JPEG
625,n03662601,ILSVRC2012_val_00040889.JPEG
625,n03662601,ILSVRC2012_val_00016448.JPEG
860,n04443257,ILSVRC2012_val_00045194.JPEG
860,n04443257,ILSVRC2012_val_00046294.JPEG
860,n04443257,ILSVRC2012_val_00010184.JPEG
860,n04443257,ILSVRC2012_val_00004326.JPEG
860,n04443257,ILSVRC2012_val_00009808.JPEG
159,n02087394,ILSVRC2012_val_00009200.JPEG
159,n02087394,ILSVRC2012_val_00033731.JPEG
159,n02087394,ILSVRC2012_val_00038227.JPEG
159,n02087394,ILSVRC2012_val_00003837.JPEG
159,n02087394,ILSVRC2012_val_00044285.JPEG
911,n04599235,ILSVRC2012_val_00048268.JPEG
911,n04599235,ILSVRC2012_val_00016103.JPEG
911,n04599235,ILSVRC2012_val_00011497.JPEG
911,n04599235,ILSVRC2012_val_00017173.JPEG
911,n04599235,ILSVRC2012_val_00010274.JPEG
440,n02823428,ILSVRC2012_val_00046968.JPEG
440,n02823428,ILSVRC2012_val_00031867.JPEG
440,n02823428,ILSVRC2012_val_00039338.JPEG
440,n02823428,ILSVRC2012_val_00008121.JPEG
440,n02823428,ILSVRC2012_val_00012286.JPEG
391,n02536864,ILSVRC2012_val_00032566.JPEG
391,n02536864,ILSVRC2012_val_00024395.JPEG
391,n02536864,ILSVRC2012_val_00019063.JPEG
391,n02536864,ILSVRC2012_val_00006292.JPEG
391,n02536864,ILSVRC2012_val_00049740.JPEG
481,n02978881,ILSVRC2012_val_00012927.JPEG
481,n02978881,ILSVRC2012_val_00035965.JPEG
481,n02978881,ILSVRC2012_val_00001437.JPEG
481,n02978881,ILSVRC2012_val_00047907.JPEG
481,n02978881,ILSVRC2012_val_00000353.JPEG
467,n02927161,ILSVRC2012_val_00015368.JPEG
467,n02927161,ILSVRC2012_val_00042634.JPEG
467,n02927161,ILSVRC2012_val_00011685.JPEG
467,n02927161,ILSVRC2012_val_00008136.JPEG
467,n02927161,ILSVRC2012_val_00045596.JPEG
483,n02980441,ILSVRC2012_val_00020249.JPEG
483,n02980441,ILSVRC2012_val_00032173.JPEG
483,n02980441,ILSVRC2012_val_00004071.JPEG
483,n02980441,ILSVRC2012_val_00013726.JPEG
483,n02980441,ILSVRC2012_val_00019377.JPEG
466,n02917067,ILSVRC2012_val_00046242.JPEG
466,n02917067,ILSVRC2012_val_00018715.JPEG
466,n02917067,ILSVRC2012_val_00036325.JPEG
466,n02917067,ILSVRC2012_val_00012612.JPEG
466,n02917067,ILSVRC2012_val_00031216.JPEG
365,n02480495,ILSVRC2012_val_00009574.JPEG
365,n02480495,ILSVRC2012_val_00015704.JPEG
